midtest,finaltest,attendance,avggrade,percentgrade,counselnum,extralecture,scalarship,scolarregister
27,30,30,3.9,92,1,2,251460,1
28,36,29,3.9,92,2,3,3121000,1
26,36,30,4,92,3,2,251460,1
28,35,29,3.8,92,1,4,2781460,1
27,34,30,3.8,92,5,2,828960,1
29,35,30,4,92,1,4,2451460,1
28,34,29,3.9,92,1,2,3717000,1
27,32,30,3.9,92,2,2,3121000,1
27,35,30,4.1,92,2,2,251460,1
28,35,30,3.9,92,1,2,251460,1
27,34,30,3.9,92,1,4,2701460,1
27,37,29,4,92,1,3,3819000,1
27,35,30,4,92,1,4,251460,1
27,32,29,3.9,92,1,2,2673300,1
27,34,29,4.1,92,4,5,251460,1
28,35,29,4,92,1,2,251460,1
26,35,30,4,91,5,5,251460,2
27,36,29,4.1,91,3,5,251460,2
27,34,30,3.9,91,3,5,251460,2
27,34,30,4,91,3,5,251460,2
26,35,29,3.9,91,1,3,3325000,2
25,36,29,4,91,1,2,251460,2
26,36,29,3.9,91,1,2,1662460,2
28,34,30,4.1,91,4,4,3325000,2
28,34,30,4,91,5,2,251460,2
27,34,29,3.9,91,1,1,251460,2
27,34,30,4,91,1,1,1662460,2
27,35,29,3.8,91,2,3,251460,2
27,35,29,3.9,91,2,3,251460,2
28,34,30,3.8,91,2,6,3021460,2
26,35,30,3.8,91,1,3,251460,2
26,35,30,4,91,1,1,251460,2
27,35,30,4,91,1,1,1868460,2
26,36,30,3.9,91,3,6,3738000,2
27,35,30,4,91,1,1,251460,2
27,37,29,4,91,6,4,2916460,2
27,36,29,4,91,1,1,4188000,2
28,34,30,3.8,91,1,2,251460,2
26,36,30,4,91,2,3,3842460,2
28,35,29,4,91,2,1,958960,2
26,34,28,3.9,91,1,2,3921000,2
26,33,29,4,91,1,2,251460,2
27,33,29,3.9,91,13,8,251460,2
27,33,29,4,91,1,1,3921000,2
28,37,28,3.9,91,1,1,251460,2
29,35,29,3.9,91,1,2,3921000,2
27,34,27,4,91,1,2,751460,2
28,34,28,4,91,3,2,0,2
26,35,29,3.8,91,2,2,3921000,2
26,37,29,3.8,91,2,2,3921000,2
27,36,29,3.9,91,1,2,251460,2
27,35,30,3.9,91,1,1,251460,2
26,36,29,3.9,91,1,2,501460,2
27,36,28,3.9,91,1,2,251460,2
27,36,29,3.9,91,1,2,3921000,2
28,38,26,3.8,91,1,3,2871460,2
26,34,29,3.9,91,2,5,2871460,2
26,37,29,3.9,91,2,5,251460,2
26,33,29,3.8,91,2,1,2771460,2
28,34,29,3.8,91,1,1,251460,2
27,36,29,3.8,91,1,1,2871460,2
27,35,30,4,91,1,2,1882460,2
27,36,29,4,91,1,3,251460,2
27,36,29,3.9,91,0,2,3921000,2
27,35,30,3.8,91,0,2,3921000,2
27,35,30,3.9,91,1,2,251460,2
27,35,30,3.9,91,1,2,1327460,2
27,35,29,3.9,91,1,2,251460,2
27,37,28,4,91,1,2,251460,2
26,36,29,3.9,91,1,2,251460,2
27,35,30,3.9,91,1,1,3921000,2
27,35,30,3.9,91,1,3,3921000,2
26,35,29,3.8,91,1,5,0,2
26,32,28,3.9,91,1,2,1662460,2
25,35,29,3.9,91,1,2,1662460,2
27,35,29,3.9,91,4,2,251460,2
29,35,28,4.1,91,1,2,3921000,2
28,33,30,4,91,3,2,3921000,2
28,34,29,4,91,7,3,1960460,2
28,35,30,3.9,91,1,3,251460,2
27,36,29,4,91,1,4,1662460,2
26,35,30,3.9,91,1,2,1662460,2
27,35,29,3.9,91,2,3,2916460,2
28,36,29,3.9,91,1,6,251460,2
28,35,29,4,91,1,5,2916460,2
28,35,27,4,91,1,2,0,2
27,36,29,4,91,6,2,3325000,2
27,34,29,4,91,1,3,1662460,2
28,34,30,3.8,91,1,1,501460,2
28,34,30,3.8,91,1,1,251460,2
27,34,30,3.8,91,1,1,501460,2
27,35,29,3.8,91,2,1,251460,2
27,36,29,3.9,91,1,1,251460,2
27,38,29,3.9,91,1,3,251460,2
28,37,27,3.8,91,1,4,251460,2
27,37,29,3.9,91,1,3,3921000,2
28,34,29,3.9,91,1,1,251460,1
29,34,29,4,91,1,2,251460,1
27,35,30,3.9,91,1,1,251460,1
27,36,29,3.9,91,2,2,251460,1
25,34,29,4,91,1,0,0,1
26,35,29,3.8,91,1,0,2468000,1
27,35,29,3.9,91,3,0,3427000,1
26,35,28,3.9,91,1,0,2468000,1
28,36,28,4,91,1,0,3427000,1
28,34,29,3.9,91,1,0,4290000,1
27,34,29,3.9,91,1,0,2130000,1
27,34,30,3.9,91,0,0,537500,1
26,36,29,4,91,1,0,1076000,1
27,35,28,3.9,91,1,0,2087000,1
27,34,29,4,91,1,0,2087000,1
28,34,27,4,91,1,0,900000,1
27,34,29,4,91,0,0,0,1
28,34,29,3.9,91,1,1,251460,1
29,34,29,4,91,1,2,251460,1
27,36,29,3.9,91,2,2,251460,1
26,36,29,4,91,1,0,2665000,1
27,34,29,4,91,1,0,0,1
27,34,30,3.9,91,0,0,537500,1
26,35,29,4,91,0,0,0,1
25,36,30,3.8,91,1,5,251000,1
26,35,29,3.9,91,0,4,2916000,1
26,34,30,3.9,91,0,5,2531000,1
26,36,30,3.8,91,4,4,251000,1
24,29,29,3.9,91,1,5,2531000,1
27,32,26,3.8,91,2,4,251000,1
25,33,30,3.8,91,2,6,2291000,1
27,34,30,3.9,91,2,3,251000,1
25,36,30,4,91,3,4,2771460,1
27,33,30,4,91,0,8,251460,1
26,36,29,3.8,91,1,5,3512460,1
26,34,29,3.9,91,1,6,2511460,1
29,29,30,3.7,91,3,2,251460,1
26,35,29,4,91,1,2,251460,1
27,35,30,3.8,91,1,2,3121000,1
26,36,29,3.9,91,1,4,3121000,1
27,36,28,3.8,91,1,3,251460,1
26,32,30,3.9,91,2,2,251460,1
29,34,30,3.8,91,1,2,3717000,1
28,35,30,3.9,91,1,2,2601460,1
27,33,29,3.9,91,3,3,3121000,1
28,33,29,3.9,91,4,3,3717000,1
28,33,30,3.8,91,1,2,828960,1
28,35,30,3.9,91,1,3,251460,1
29,35,30,3.9,91,1,3,251460,1
26,34,30,3.8,91,3,2,3717000,1
25,34,30,3.9,91,0,2,2161600,1
27,34,30,3.8,91,1,2,3121000,1
28,35,29,3.9,91,1,4,1131460,1
26,36,30,3.8,91,3,2,251460,1
27,33,29,3.9,91,4,2,3717000,1
28,36,28,3.9,91,1,2,828960,1
25,36,30,3.8,91,1,2,251460,1
27,35,29,3.9,91,1,3,251460,1
28,35,29,3.9,91,1,2,251460,1
26,36,30,3.9,91,2,3,1178960,1
23,30,29,3.9,91,1,2,2701460,1
26,35,30,3.8,91,1,4,251460,1
26,34,30,3.7,91,1,3,1909500,1
27,35,29,3.8,91,1,4,251460,1
26,35,30,3.8,90,2,5,958960,2
27,33,30,3.7,90,3,6,251460,2
27,34,29,3.8,90,3,5,1521460,2
26,34,30,3.8,90,1,1,251460,2
26,35,30,3.9,90,1,1,2611460,2
27,34,30,3.9,90,1,2,251460,2
27,33,29,3.8,90,0,1,958960,2
27,35,29,3.8,90,2,1,251460,2
26,37,29,3.9,90,2,3,2561460,2
26,37,29,3.8,90,2,2,3921000,2
26,33,29,3.8,90,1,2,501460,2
25,35,30,3.9,90,1,1,3071460,2
25,34,29,3.8,90,1,1,501460,2
26,34,29,3.8,90,2,1,251460,2
26,34,30,3.8,90,1,3,251460,2
26,34,30,3.9,90,1,1,501460,2
27,35,29,3.9,90,5,4,551460,2
25,37,29,3.9,90,6,2,251460,2
26,36,29,3.8,90,6,4,3325000,2
27,34,30,3.8,90,1,2,251460,2
28,34,29,3.7,90,1,2,251460,2
27,34,30,3.7,90,1,2,2931460,2
26,35,29,3.8,90,3,3,251460,2
26,35,29,3.7,90,1,1,2811460,2
27,33,30,3.8,90,2,3,251460,2
26,36,30,3.8,90,1,1,251460,2
27,34,29,3.7,90,1,2,1960460,2
24,35,30,3.8,90,1,1,251460,2
26,34,29,3.8,90,5,8,251460,2
26,34,29,3.9,90,1,3,251460,2
25,34,29,3.7,90,1,3,251460,2
26,35,27,3.8,90,1,1,251460,2
27,36,27,3.8,90,1,1,251460,2
27,32,29,3.8,90,1,1,3921000,2
26,34,27,3.8,90,2,1,3325000,2
27,32,29,3.8,90,1,2,251460,2
27,34,29,3.9,90,2,6,958960,2
26,36,29,3.8,90,2,2,1251460,2
26,35,29,3.7,90,1,2,251460,2
26,35,29,3.8,90,2,2,251460,2
27,33,30,3.7,90,1,2,2771460,2
26,36,29,3.7,90,2,2,2771460,2
26,37,27,3.8,90,1,2,251460,2
26,34,29,3.7,90,1,2,251460,2
23,37,30,3.7,90,2,2,958960,2
26,35,28,3.7,90,1,2,3921000,2
26,37,27,3.8,90,1,3,251460,2
25,35,29,3.7,90,1,2,2744460,2
25,37,29,3.8,90,2,4,3325000,2
26,36,29,3.9,90,2,2,958960,2
26,36,29,3.8,90,2,4,1662460,2
24,37,29,3.9,90,2,6,1251460,2
24,37,28,3.8,90,2,4,251460,2
26,36,27,3.9,90,1,0,251460,2
24,36,29,3.8,90,2,4,251460,2
23,34,28,3.8,90,2,2,2916460,2
27,34,29,3.7,90,2,1,251460,2
27,34,29,3.8,90,1,2,3921000,2
26,37,29,3.9,90,2,3,3512460,2
27,37,28,4,90,1,2,251460,2
25,35,30,3.8,90,2,2,2921460,2
28,35,29,3.9,90,1,3,3921000,2
26,34,29,3.8,90,1,2,251460,2
27,34,30,3.8,90,1,2,251460,2
26,35,29,3.9,90,0,2,958960,2
27,34,29,3.8,90,1,2,251460,2
26,37,29,3.7,90,1,3,2871460,2
27,36,29,3.9,90,1,2,3921000,2
26,37,29,3.8,90,1,1,251460,2
